Journal,USD,USD cleaned
Ceramics International,"2,950",2950
CIRP Journal of Manufacturing Science and Technology,"2,950",2950
Computers in Human Behavior,"2,950",2950
Educational Research Review,"2,950",2950
Energy Research & Social Science,"2,950",2950
General and Comparative Endocrinology,"2,950",2950
Journal of Adolescence,"2,950",2950
Journal of Applied Research on Medicinal and Aromatic Plants,"2,950",2950
Journal of Arid Environments,"2,950",2950
Neurochemistry International,"2,950",2950
Progrès en Urologie - Formation Médicale Continue,"2,950",2950
Protein Expression and Purification,"2,950",2950
Revue de Micropaléontologie,"2,950",2950
Sleep Medicine Clinics,"2,950",2950
Surface and Coatings Technology,"2,950",2950
Journal of Thoracic and Cardiovascular Surgery,"2,950",2950
Transfusion Medicine Reviews,"2,950",2950
Vaccine,"2,950",2950
Veterinary Clinics of North America: Small Animal Practice,"2,950",2950
Artificial Intelligence,"2,960",2960
Pulmonary Pharmacology and Therapeutics,"2,960",2960
The American Journal of Cardiology,"2,960",2960
American Journal of Otolaryngology,"2,970",2970
Clinical Biomechanics,"2,970",2970
Methods,"2,970",2970
Annals of Physical and Rehabilitation Medicine,"2,980",2980
Applied Catalysis A: General,"2,980",2980
Brain and Language,"2,980",2980
Computer-Aided Design,"2,980",2980
Journal of Business Research,"2,980",2980
Journal of Non-Newtonian Fluid Mechanics,"2,980",2980
Journal of Urban Economics,"2,980",2980
Phytochemistry Letters,"2,980",2980
Proceedings of the Combustion Institute,"2,980",2980
Seminars in Nephrology,"2,980",2980
Anaerobe,"2,990",2990
Forensic Chemistry,"2,990",2990
International Journal of Multiphase Flow,"2,990",2990
Seminars in Vascular Surgery,"2,990",2990
Academic Pediatrics,"3,000",3000
"Accounting, Organizations and Society","3,000",3000
Acta Biomaterialia,"3,000",3000
Acta Materialia,"3,000",3000
Advances in Clinical Radiology,"3,000",3000
Advances in Cosmetic Surgery,"3,000",3000
Advances in Family Practice Nursing,"3,000",3000
Advances in Molecular Pathology,"3,000",3000
AJO-DO Clinical Companion,"3,000",3000
"Annals of Allergy, Asthma & Immunology","3,000",3000
Annals of Emergency Medicine,"3,000",3000
Annals of Epidemiology,"3,000",3000
Applied Animal Behaviour Science,"3,000",3000
Archives of Oral Biology,"3,000",3000
Atlas of The Oral and Maxillofacial Surgery Clinics of North America,"3,000",3000
Behavior Therapy,"3,000",3000
Bioactive Carbohydrates and Dietary Fibre,"3,000",3000
Biologicals,"3,000",3000
Bioorganic & Medicinal Chemistry,"3,000",3000
Bioorganic & Medicinal Chemistry Letters,"3,000",3000
Brachytherapy,"3,000",3000
Brain Research Bulletin,"3,000",3000
Burns,"3,000",3000
Canadian Journal of Ophthalmology,"3,000",3000
Cardiovascular Pathology,"3,000",3000
Child Abuse & Neglect,"3,000",3000
Clinics in Laboratory Medicine,"3,000",3000
Clinics in Liver Disease,"3,000",3000
Clinics in Podiatric Medicine and Surgery,"3,000",3000
Clinics in Sports Medicine,"3,000",3000
Cognitive and Behavioral Practice,"3,000",3000
Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,"3,000",3000
Comparative Biochemistry and Physiology - Part C: Toxicology & Pharmacology,"3,000",3000
Contact Lens & Anterior Eye,"3,000",3000
Current Opinion in Systems Biology,"3,000",3000
Current Problems in Cancer,"3,000",3000
Current Problems in Cardiology,"3,000",3000
Deep-Sea Research Part I: Oceanographic Research Papers,"3,000",3000
Dental Clinics of North America,"3,000",3000
Differentiation,"3,000",3000
Digestive and Liver Disease,"3,000",3000
Environmental and Experimental Botany,"3,000",3000
"Estuarine, Coastal and Shelf Science","3,000",3000
European Journal of Medical Genetics,"3,000",3000
European Journal of Radiology,"3,000",3000
European Neuropsychopharmacology,"3,000",3000
European Urology Oncology,"3,000",3000
Evolution and Human Behavior,"3,000",3000
Food Structure,"3,000",3000
Foot and Ankle Clinics,"3,000",3000
Forensic Science International: Genetics Supplement Series,"3,000",3000
Fungal Biology Reviews,"3,000",3000
Fungal Ecology,"3,000",3000
Gastroenterología y Hepatología,"3,000",3000
Gastrointestinal Endoscopy,"3,000",3000
Gastrointestinal Endoscopy Clinics of North America,"3,000",3000
Gene,"3,000",3000
General Hospital Psychiatry,"3,000",3000
Hand Clinics,"3,000",3000
Health Policy and Technology,"3,000",3000
Human Pathology,"3,000",3000
International Economics,"3,000",3000
International Journal of Antimicrobial Agents,"3,000",3000
International Journal of Biological Macromolecules,"3,000",3000
International Journal of Law and Psychiatry,"3,000",3000
International Journal of Refractory Metals and Hard Materials,"3,000",3000
International Journal of Surgery,"3,000",3000
Interventional Cardiology Clinics,"3,000",3000
Journal of AAPOS,"3,000",3000
Journal of Applied Research in Memory and Cognition,"3,000",3000
Journal of Asia-Pacific Entomology,"3,000",3000
Journal of Cardiology,"3,000",3000
Journal of Chiropractic Humanities,"3,000",3000
Journal of Clinical and Experimental Hepatology,"3,000",3000
Journal of Clinical Densitometry,"3,000",3000
Journal of Clinical Neuroscience,"3,000",3000
Journal of Clinical Orthopaedics and Trauma,"3,000",3000
Journal of Comparative Economics,"3,000",3000
Journal of Comparative Pathology,"3,000",3000
Journal of Dentistry,"3,000",3000
Journal of Electromyography and Kinesiology,"3,000",3000
Journal of Endodontics,"3,000",3000
Journal of Environmental Psychology,"3,000",3000
Journal of Experimental Marine Biology and Ecology,"3,000",3000
Journal of Geriatric Oncology,"3,000",3000
The Journal of Hand Surgery,"3,000",3000
Journal of Hepatology,"3,000",3000
Journal of Hydro-environment Research,"3,000",3000
Journal of Invertebrate Pathology,"3,000",3000
Journal of Manufacturing Processes,"3,000",3000
Journal of Marine Systems,"3,000",3000
Journal of Materials Science & Technology,"3,000",3000
Journal of Molecular Graphics and Modelling,"3,000",3000
"Journal of Obstetric, Gynecologic & Neonatal Nursing","3,000",3000
Journal of Obstetrics and Gynaecology Canada,"3,000",3000
Journal of Oral and Maxillofacial Surgery,"3,000",3000
Journal of Orthopaedic Science,"3,000",3000
Journal of Orthopaedics,"3,000",3000
Journal of Pain and Symptom Management,"3,000",3000
Journal of Stroke & Cerebrovascular Diseases,"3,000",3000
Journal of Substance Abuse Treatment,"3,000",3000
Journal of the Academy of Consultation-Liaison Psychiatry,"3,000",3000
Journal of the American Academy of Child and Adolescent Psychiatry,"3,000",3000
Journal of The American Society of Echocardiography,"3,000",3000
Journal of the National Medical Association,"3,000",3000
Journal of the World Federation of Orthodontists,"3,000",3000
Journal of Vascular and Interventional Radiology,"3,000",3000
Journal of Veterinary Cardiology,"3,000",3000
Journal of Voice,"3,000",3000
Learning and Instruction,"3,000",3000
Materials Today Nano,"3,000",3000
Materials Today Sustainability,"3,000",3000
Mechanics Research Communications,"3,000",3000
Metal Powder Report,"3,000",3000
Molecular Plant,"3,000",3000
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,"3,000",3000
Nano-Structures & Nano-Objects,"3,000",3000
Neurochirurgie,"3,000",3000
Neuroimaging Clinics of North America,"3,000",3000
Neuropeptides,"3,000",3000
Neurophysiologie clinique,"3,000",3000
Neuroscience,"3,000",3000
Neurosurgery Clinics of North America,"3,000",3000
Nursing Clinics of North America,"3,000",3000
Nursing for Women's Health,"3,000",3000
"Nutrition, Metabolism & Cardiovascular Diseases","3,000",3000
Obstetrics and Gynecology Clinics of North America,"3,000",3000
Ophthalmology Retina,"3,000",3000
Oral and Maxillofacial Surgery Clinics of North America,"3,000",3000
Palaeoworld,"3,000",3000
Pancreatology,"3,000",3000
Particuology,"3,000",3000
Pathology,"3,000",3000
Personalized Medicine in Psychiatry,"3,000",3000
Physica E: Low-dimensional Systems and Nanostructures,"3,000",3000
Plant Science,"3,000",3000
Pregnancy Hypertension,"3,000",3000
Process Safety and Environmental Protection,"3,000",3000
Radiologic Clinics of North America,"3,000",3000
Reactive and Functional Polymers,"3,000",3000
Reinforced Plastics,"3,000",3000
Respiratory Investigation,"3,000",3000
Revista Española de Cardiología,"3,000",3000
Scripta Materialia,"3,000",3000
Seminars in Diagnostic Pathology,"3,000",3000
Seminars in Oncology,"3,000",3000
Sleep Health,"3,000",3000
Sustainable Production and Consumption,"3,000",3000
The Annals of Thoracic Surgery,"3,000",3000
Journal of Minimally Invasive Gynecology,"3,000",3000
The Journal of Molecular Diagnostics,"3,000",3000
The Journal of Social Studies Research,"3,000",3000
The Surgeon,"3,000",3000
Toxicon,"3,000",3000
Transportation Research Part E: Logistics and Transportation Review,"3,000",3000
Urologic Clinics of North America,"3,000",3000
Veterinary Anaesthesia and Analgesia,"3,000",3000
Veterinary Clinics of North America: Exotic Animal Practice,"3,000",3000
Veterinary Clinics of North America: Food Animal Practice,"3,000",3000
Veterinary Parasitology,"3,000",3000
Virus Research,"3,000",3000
Wilderness & Environmental Medicine,"3,000",3000
Women's Health Issues,"3,000",3000
Automatica,"3,010",3010
Cells & Development,"3,010",3010
Dyes and Pigments,"3,010",3010
Early Childhood Research Quarterly,"3,010",3010
International Journal of Heat and Fluid Flow,"3,010",3010
Journal of Diabetes and its Complications,"3,010",3010
"Prostaglandins, Leukotrienes & Essential Fatty Acids","3,010",3010
System,"3,010",3010
International Review of Economics Education,"3,020",3020
Journal of Fluids and Structures,"3,020",3020
Journal of Fluorine Chemistry,"3,020",3020
Journal of Rural Studies,"3,020",3020
Journal of Stored Products Research,"3,020",3020
Lung Cancer,"3,020",3020
Transportation Research Part C: Emerging Technologies,"3,020",3020
Annales de Chirurgie Plastique Esthétique,"3,030",3030
Behavioural Brain Research,"3,030",3030
Journal of Contaminant Hydrology,"3,030",3030
Journal of Wind Engineering & Industrial Aerodynamics,"3,030",3030
Diabetes & Metabolism,"3,040",3040
Journal of Cardiac Failure,"3,040",3040
Archives of Psychiatric Nursing,"3,050",3050
Cancer Epidemiology,"3,050",3050
Chemical Physics,"3,050",3050
Chemical Physics Letters,"3,050",3050
Cretaceous Research,"3,050",3050
European Journal of Soil Biology,"3,050",3050
International Journal of Pediatric Otorhinolaryngology,"3,050",3050
Journal of Alloys and Compounds,"3,050",3050
Journal of Chemical Neuroanatomy,"3,050",3050
Journal of CO2 Utilization,"3,050",3050
Journal of Critical Care,"3,050",3050
Journal of Network and Computer Applications,"3,050",3050
Multiple Sclerosis and Related Disorders,"3,050",3050
Nutrition Research,"3,050",3050
Progress in Biophysics & Molecular Biology,"3,050",3050
Seminars in Radiation Oncology,"3,050",3050
Transplant Immunology,"3,050",3050
Ultramicroscopy,"3,050",3050
Developmental & Comparative Immunology,"3,060",3060
Mechanics of Materials,"3,060",3060
Journal of Sound and Vibration,"3,070",3070
Precambrian Research,"3,070",3070
Soil Dynamics and Earthquake Engineering,"3,070",3070
Brain Research,"3,080",3080
Journal of Organometallic Chemistry,"3,080",3080
Journal of Psychiatric Research,"3,080",3080
Review of Palaeobotany and Palynology,"3,080",3080
Surgical Oncology,"3,080",3080
Journal of Prosthetic Dentistry,"3,080",3080
Archives of Biochemistry and Biophysics,"3,090",3090
"Comparative Immunology, Microbiology & Infectious Diseases","3,090",3090
Experimental Thermal and Fluid Science,"3,090",3090
New Ideas in Psychology,"3,090",3090
Social Science & Medicine,"3,090",3090
Actas Urológicas Españolas,"3,100",3100
CIRP Annals,"3,100",3100
Clinical Neurology and Neurosurgery,"3,100",3100
Clinical Nutrition,"3,100",3100
Computer Speech and Language,"3,100",3100
Computers & Electrical Engineering,"3,100",3100
Disability and Health Journal,"3,100",3100
Energy Conversion and Management,"3,100",3100
Environmental Modelling & Software,"3,100",3100
European Journal of Obstetrics & Gynecology and Reproductive Biology,"3,100",3100
Fisheries Research,"3,100",3100
Human Movement Science,"3,100",3100
International Journal of Medical Informatics,"3,100",3100
Journal of Constructional Steel Research,"3,100",3100
Journal of Pharmacological and Toxicological Methods,"3,100",3100
Journal of Photochemistry and Photobiology B: Biology,"3,100",3100
Journal of Structural Geology,"3,100",3100
Journal of Trace Elements in Medicine and Biology,"3,100",3100
Journal of Water Process Engineering,"3,100",3100
Marine and Petroleum Geology,"3,100",3100
Materials Letters,"3,100",3100
Neuromuscular Disorders,"3,100",3100
Pattern Recognition,"3,100",3100
Sensors and Actuators A: Physical,"3,100",3100
Solid State Nuclear Magnetic Resonance,"3,100",3100
Spectrochimica Acta Part B: Atomic Spectroscopy,"3,100",3100
Surgical Pathology Clinics,"3,100",3100
Swarm and Evolutionary Computation,"3,100",3100
Bioorganic Chemistry,"3,110",3110
Computers & Fluids,"3,110",3110
Human Immunology,"3,110",3110
International Emergency Nursing,"3,110",3110
Aggression and Violent Behavior,"3,120",3120
Applied Soil Ecology,"3,120",3120
Archives of Gerontology and Geriatrics,"3,120",3120
Engineering Failure Analysis,"3,120",3120
Ore Geology Reviews,"3,120",3120
The Veterinary Journal,"3,120",3120
Arthropod Structure & Development,"3,130",3130
Communications in Nonlinear Science and Numerical Simulation,"3,130",3130
Molecular and Cellular Neuroscience,"3,130",3130
Techniques in Vascular and Interventional Radiology,"3,130",3130
Computer Law & Security Review,"3,140",3140
Journal of Corporate Finance,"3,140",3140
Journal of Science and Medicine in Sport,"3,140",3140
Reproductive BioMedicine Online,"3,140",3140
"Seminars in Ultrasound, CT and MRI","3,140",3140
Biological Conservation,"3,150",3150
Cardiology Clinics,"3,150",3150
Cognitive Psychology,"3,150",3150
Computers & Education,"3,150",3150
Cortex,"3,150",3150
Critical Perspectives On Accounting,"3,150",3150
Current Problems in Pediatric and Adolescent Health Care,"3,150",3150
Energy Policy,"3,150",3150
Gait & Posture,"3,150",3150
Global and Planetary Change,"3,150",3150
International Journal of Child-Computer Interaction,"3,150",3150
International Journal of Gastronomy and Food Science,"3,150",3150
International Journal of Production Economics,"3,150",3150
Journal of Cardiovascular Computed Tomography,"3,150",3150
Journal of Financial Intermediation,"3,150",3150
Journal of Infection,"3,150",3150
Journal of Neuroimmunology,"3,150",3150
Marine Environmental Research,"3,150",3150
Materials Characterization,"3,150",3150
Microbiological Research,"3,150",3150
Neurobiology of Learning and Memory,"3,150",3150
Orthopaedics & Traumatology: Surgery & Research,"3,150",3150
Primary Care Diabetes,"3,150",3150
The Spine Journal,"3,150",3150
Thrombosis Research,"3,150",3150
Urologic Oncology: Seminars and Original Investigations,"3,150",3150
Veterinary Immunology and Immunopathology,"3,150",3150
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,"3,160",3160
International Journal of Hospitality Management,"3,160",3160
International Journal of Hydrogen Energy,"3,160",3160
Lithos,"3,160",3160
Magnetic Resonance Imaging Clinics of North America,"3,160",3160
Physiotherapy,"3,160",3160
Social Networks,"3,160",3160
Vision Research,"3,160",3160
Applied Ocean Research,"3,170",3170
Energy Storage Materials,"3,170",3170
Journal of Memory and Language,"3,170",3170
Legal Medicine,"3,170",3170
Prostaglandins & Other Lipid Mediators,"3,170",3170
Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,"3,170",3170
Sustainable Cities and Society,"3,170",3170
Transportation Research Part B: Methodological,"3,170",3170
Health Policy,"3,180",3180
Journal of Development Economics,"3,180",3180
Journal of Hazardous Materials,"3,180",3180
Current Problems in Surgery,"3,190",3190
European Journal of Protistology,"3,190",3190
International Business Review,"3,190",3190
Library & Information Science Research,"3,190",3190
Surgical Clinics of North America,"3,190",3190
American Journal of Kidney Diseases,"3,200",3200
Atherosclerosis,"3,200",3200
BJA Education,"3,200",3200
British Journal of Anaesthesia,"3,200",3200
Canadian Journal of Cardiology,"3,200",3200
Clinica Chimica Acta,"3,200",3200
Computers & Geosciences,"3,200",3200
Contraception,"3,200",3200
Deep-Sea Research Part II: Topical Studies in Oceanography,"3,200",3200
European Journal of Internal Medicine,"3,200",3200
Future Generation Computer Systems,"3,200",3200
Gastroenterology,"3,200",3200
International Journal of Mass Spectrometry,"3,200",3200
International Journal of Project Management,"3,200",3200
Journal of Biomedical Informatics,"3,200",3200
Journal of Biotechnology,"3,200",3200
Journal of Chromatography B,"3,200",3200
Journal of Hydrology,"3,200",3200
Journal of Solid State Chemistry,"3,200",3200
Kidney International,"3,200",3200
Kidney International Supplements,"3,200",3200
Microporous and Mesoporous Materials,"3,200",3200
Midwifery,"3,200",3200
Neurobiology of Aging,"3,200",3200
Neurotoxicology and Teratology,"3,200",3200
Nuclear Data Sheets,"3,200",3200
Ocean & Coastal Management,"3,200",3200
Quaternary Science Reviews,"3,200",3200
Telecommunications Policy,"3,200",3200
The Extractive Industries and Society,"3,200",3200
Clinics in Dermatology,"3,210",3210
Current Opinion in Pharmacology,"3,210",3210
Developmental Biology,"3,210",3210
Domestic Animal Endocrinology,"3,210",3210
Food Bioscience,"3,210",3210
Journal of Food Composition and Analysis,"3,210",3210
Journal of Pediatric Nursing,"3,210",3210
Atomic Data and Nuclear Data Tables,"3,220",3220
Computers in Industry,"3,220",3220
Journal of Fluency Disorders,"3,220",3220
Journal of Process Control,"3,220",3220
"Nanomedicine: Nanotechnology, Biology and Medicine","3,220",3220
Ocean Engineering,"3,220",3220
Process Biochemistry,"3,220",3220
Sexual Medicine Reviews,"3,220",3220
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,"3,230",3230
Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,"3,230",3230
Electrochimica Acta,"3,230",3230
Journal of Second Language Writing,"3,230",3230
Journal of the Mechanical Behavior of Biomedical Materials,"3,230",3230
Magnetic Resonance Imaging,"3,230",3230
Photodiagnosis and Photodynamic Therapy,"3,230",3230
Seminars in Oncology Nursing,"3,230",3230
Surgical Oncology Clinics of North America,"3,230",3230
Thin-Walled Structures,"3,230",3230
Addictive Behaviors,"3,240",3240
Contemporary Educational Psychology,"3,240",3240
Growth Hormone & IGF Research,"3,240",3240
Journal of Forensic and Legal Medicine,"3,240",3240
Otolaryngologic Clinics of North America,"3,240",3240
American Heart Journal,"3,250",3250
Catalysis Today,"3,250",3250
CATENA,"3,250",3250
Clinics in Geriatric Medicine,"3,250",3250
Computer Physics Communications,"3,250",3250
Computers and Geotechnics,"3,250",3250
Continental Shelf Research,"3,250",3250
Current Opinion in Insect Science,"3,250",3250
Geochimica et Cosmochimica Acta,"3,250",3250
Global Food Security,"3,250",3250
International Journal of Human-Computer Studies,"3,250",3250
JACC: Cardiovascular Imaging,"3,250",3250
JACC: Cardiovascular Interventions,"3,250",3250
JACC: Clinical Electrophysiology,"3,250",3250
JACC: Heart Failure,"3,250",3250
Journal of Clinical Anesthesia,"3,250",3250
Journal of the Neurological Sciences,"3,250",3250
Progress in Organic Coatings,"3,250",3250
Revue Neurologique,"3,250",3250
Schizophrenia Research,"3,250",3250
Tetrahedron Letters,"3,250",3250
The Journal of Sexual Medicine,"3,250",3250
Transplantation Reviews,"3,250",3250
Applied Nursing Research,"3,260",3260
Auris Nasus Larynx,"3,260",3260
Journal of Clinical Epidemiology,"3,260",3260
Wear,"3,260",3260
Applied Surface Science,"3,270",3270
Bioelectrochemistry,"3,270",3270
Cancer Genetics,"3,270",3270
Critical Care Clinics,"3,270",3270
Journal of Adolescent Health,"3,270",3270
Nuclear Medicine and Biology,"3,270",3270
Placenta,"3,270",3270
Zoology,"3,270",3270
China Economic Review,"3,280",3280
Computational and Theoretical Chemistry,"3,280",3280
Cryobiology,"3,280",3280
Journal of Health Economics,"3,280",3280
Journal of International Economics,"3,280",3280
Journal of Pediatric Surgery,"3,280",3280
Progress in Neuro-Psychopharmacology & Biological Psychiatry,"3,280",3280
Studies in History and Philosophy of Science,"3,280",3280
Biochimica et Biophysica Acta - Molecular Basis of Disease,"3,290",3290
Best Practice & Research: Clinical Gastroenterology,"3,290",3290
Cognition,"3,290",3290
"Computers, Environment and Urban Systems","3,290",3290
Journal of Anxiety Disorders,"3,290",3290
Journal of Clinical Lipidology,"3,290",3290
Ocean Modelling,"3,290",3290
Plant Physiology and Biochemistry,"3,290",3290
Aerospace Science and Technology,"3,300",3300
American Journal of Orthodontics and Dentofacial Orthopedics,"3,300",3300
Anesthesiology Clinics,"3,300",3300
Annals of Anatomy,"3,300",3300
Applied Acoustics,"3,300",3300
Applied Ergonomics,"3,300",3300
Biophysical Chemistry,"3,300",3300
"Blood Cells, Molecules and Diseases","3,300",3300
BONE,"3,300",3300
British Journal of Oral and Maxillofacial Surgery,"3,300",3300
Canadian Journal of Diabetes,"3,300",3300
Carbohydrate Research,"3,300",3300
CHEST,"3,300",3300
Current Opinion in Food Science,"3,300",3300
Cytotherapy,"3,300",3300
Dental Materials,"3,300",3300
Design Studies,"3,300",3300
Engineering Geology,"3,300",3300
Environmental Impact Assessment Review,"3,300",3300
European Journal of Vascular and Endovascular Surgery,"3,300",3300
Fitoterapia,"3,300",3300
Gondwana Research,"3,300",3300
HPB,"3,300",3300
IFAC Journal of Systems and Control,"3,300",3300
International Biodeterioration & Biodegradation,"3,300",3300
International Communications in Heat and Mass Transfer,"3,300",3300
International Dairy Journal,"3,300",3300
The International Journal of Biochemistry & Cell Biology,"3,300",3300
International Journal of Solids and Structures,"3,300",3300
ISA Transactions,"3,300",3300
Journal of Chiropractic Medicine,"3,300",3300
Journal of Cranio-Maxillofacial Surgery,"3,300",3300
Journal of Environmental Management,"3,300",3300
Journal of Environmental Radioactivity,"3,300",3300
Journal of Genetics and Genomics,"3,300",3300
The Journal of Heart and Lung Transplantation,"3,300",3300
Journal of Hospital Infection,"3,300",3300
Journal of Inorganic Biochemistry,"3,300",3300
Journal of Magnetic Resonance,"3,300",3300
Journal of Manufacturing Systems,"3,300",3300
Journal of Pediatric Urology,"3,300",3300
Journal of Pharmaceutical and Biomedical Analysis,"3,300",3300
Journal of the Academy of Nutrition and Dietetics,"3,300",3300
Journal of the American College of Radiology,"3,300",3300
Journal of Vascular Surgery: Venous and Lymphatic Disorders,"3,300",3300
Life Sciences,"3,300",3300
Mayo Clinic Proceedings,"3,300",3300
Mechanism and Machine Theory,"3,300",3300
Musculoskeletal Science and Practice,"3,300",3300
Ophthalmology,"3,300",3300
Ophthalmology Glaucoma,"3,300",3300
Proceedings of the Geologists' Association,"3,300",3300
Quaternary International,"3,300",3300
Sedimentary Geology,"3,300",3300
Solar Energy,"3,300",3300
Thermochimica Acta,"3,300",3300
Trends in Cardiovascular Medicine,"3,300",3300
Chemico-Biological Interactions,"3,310",3310
Chemometrics and Intelligent Laboratory Systems,"3,310",3310
Fluid Phase Equilibria,"3,310",3310
Injury,"3,310",3310
Journal of Molecular Biology,"3,310",3310
Journal of Structural Biology,"3,310",3310
Marine Policy,"3,310",3310
The Journal of Chemical Thermodynamics,"3,310",3310
Academic Radiology,"3,320",3320
Journal of Molecular and Cellular Cardiology,"3,320",3320
Paediatric Respiratory Reviews,"3,320",3320
Robotics and Computer-Integrated Manufacturing,"3,320",3320
Engineering Fracture Mechanics,"3,330",3330
Heart Rhythm,"3,330",3330
Journal of Geochemical Exploration,"3,330",3330
Science & Justice,"3,330",3330
Best Practice & Research: Clinical Endocrinology & Metabolism,"3,340",3340
Clinics in Perinatology,"3,340",3340
Energy and Buildings,"3,340",3340
Hormones and Behavior,"3,340",3340
Applied Thermal Engineering,"3,350",3350
Chemistry and Physics of Lipids,"3,350",3350
Clinics in Chest Medicine,"3,350",3350
Current Opinion in Solid State & Materials Science,"3,350",3350
Education for Chemical Engineers,"3,350",3350
Food and Bioproducts Processing,"3,350",3350
Forest Policy and Economics,"3,350",3350
Journal of Affective Disorders,"3,350",3350
Journal of Analytical and Applied Pyrolysis,"3,350",3350
Marine Pollution Bulletin,"3,350",3350
Medical Clinics of North America,"3,350",3350
Neural Networks,"3,350",3350
Patient Education and Counseling,"3,350",3350
Aquatic Toxicology,"3,360",3360
Forest Ecology and Management,"3,360",3360
Immunology and Allergy Clinics of North America,"3,360",3360
Insect Biochemistry and Molecular Biology,"3,360",3360
Journal of Cereal Science,"3,360",3360
Journal of Econometrics,"3,360",3360
"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology","3,360",3360
Sleep Medicine,"3,360",3360
Tetrahedron,"3,360",3360
Tourism Management,"3,360",3360
Vascular Pharmacology,"3,360",3360
Autonomic Neuroscience: Basic and Clinical,"3,370",3370
Extreme Mechanics Letters,"3,370",3370
NeuroToxicology,"3,370",3370
Accident Analysis & Prevention,"3,380",3380
Appetite,"3,380",3380
Experimental Eye Research,"3,390",3390
Free Radical Biology & Medicine,"3,390",3390
Parkinsonism & Related Disorders,"3,390",3390
Analytic Methods in Accident Research,"3,400",3400
Chemosphere,"3,400",3400
Current Opinion in Behavioral Sciences,"3,400",3400
Cytokine,"3,400",3400
Dermatologic Clinics,"3,400",3400
Diabetes Research and Clinical Practice,"3,400",3400
Ecological Engineering,"3,400",3400
Energy,"3,400",3400
Journal of Investigative Dermatology,"3,400",3400
Journal of Materials Processing Technology,"3,400",3400
Materials Science and Engineering: A,"3,400",3400
Maturitas,"3,400",3400
PET Clinics,"3,400",3400
Renewable Energy,"3,400",3400
Reproductive Toxicology,"3,400",3400
Science of the Total Environment,"3,400",3400
Surgery for Obesity and Related Diseases,"3,400",3400
Omega,"3,420",3420
Seminars in Cell and Developmental Biology,"3,420",3420
Toxicology,"3,420",3420
Toxicology Letters,"3,420",3420
Archivos de Bronconeumología,"3,430",3430
Construction and Building Materials,"3,430",3430
Research in Developmental Disabilities,"3,430",3430
Pediatric Clinics of North America,"3,430",3430
International Journal of Hygiene and Environmental Health,"3,440",3440
Microbial Risk Analysis,"3,440",3440
World Development,"3,440",3440
Advances in Pediatrics,"3,450",3450
Biochemical Engineering Journal,"3,450",3450
Clinics in Plastic Surgery,"3,450",3450
Corrosion Science,"3,450",3450
Journal of World Business,"3,450",3450
Leukemia Research,"3,450",3450
Marine Geology,"3,450",3450
Preventive Veterinary Medicine,"3,450",3450
Tectonophysics,"3,450",3450
Seminars in Pediatric Surgery,"3,460",3460
International Journal of Cardiology,"3,470",3470
"Journal of Plastic, Reconstructive & Aesthetic Surgery","3,470",3470
Journal of Veterinary Behavior,"3,470",3470
Separation and Purification Technology,"3,470",3470
Critical Reviews in Oncology/Hematology,"3,480",3480
Drug Metabolism and Pharmacokinetics,"3,480",3480
Marine Structures,"3,480",3480
Physical Medicine and Rehabilitation Clinics of North America,"3,480",3480
Environmental Toxicology and Pharmacology,"3,490",3490
Enzyme and Microbial Technology,"3,490",3490
International Journal of Impact Engineering,"3,490",3490
International Journal of Mechanical Sciences,"3,490",3490
Journal of Loss Prevention in the Process Industries,"3,490",3490
Revista Clínica Española,"3,490",3490
Revista Clínica Española (English Edition),"3,490",3490
Structural Change and Economic Dynamics,"3,490",3490
Analytica Chimica Acta,"3,500",3500
Animal Feed Science and Technology,"3,500",3500
Archives of Physical Medicine and Rehabilitation,"3,500",3500
Best Practice & Research: Clinical Rheumatology,"3,500",3500
Chemical Engineering Research and Design,"3,500",3500
Chemical Engineering Science,"3,500",3500
Computers & Structures,"3,500",3500
DNA Repair,"3,500",3500
Fertility and Sterility,"3,500",3500
Forensic Science International,"3,500",3500
Fuel Processing Technology,"3,500",3500
Geomorphology,"3,500",3500
Journal of Colloid and Interface Science,"3,500",3500
Journal of Ethnopharmacology,"3,500",3500
Journal of Immunology and Regenerative Medicine,"3,500",3500
The Journal of Pain,"3,500",3500
Journal of Psychosomatic Research,"3,500",3500
Journal of Shoulder and Elbow Surgery,"3,500",3500
Journal of the European Ceramic Society,"3,500",3500
New Biotechnology,"3,500",3500
Pharmacological Research,"3,500",3500
Primary Care: Clinics in Office Practice,"3,500",3500
"Resources, Conservation & Recycling","3,500",3500
Respiratory Medicine,"3,500",3500
Rheumatic Disease Clinics of North America,"3,500",3500
Soil & Tillage Research,"3,500",3500
Structural Safety,"3,500",3500
Talanta,"3,500",3500
The Journal of Allergy and Clinical Immunology: In Practice,"3,500",3500
Veterinary Microbiology,"3,500",3500
Advances in Water Resources,"3,510",3510
Best Practice & Research: Clinical Haematology,"3,510",3510
Chemical Engineering and Processing: Process Intensification,"3,510",3510
